DATE,IPG3113N
1/9/2005,104.1837
1/10/2005,119.2862
1/11/2005,118.5207
1/12/2005,121.4931
1/1/2006,102.637
1/2/2006,102.1851
1/3/2006,94.0168
1/4/2006,93.3011
1/5/2006,88.5092
1/6/2006,88.5518
1/7/2006,88.4694
1/8/2006,97.5824
1/9/2006,104.4803
1/10/2006,113.2111
1/11/2006,114.0001
1/12/2006,115.5428
1/1/2007,106.6046
1/2/2007,101.9948
1/3/2007,98.5466
1/4/2007,86.9092
1/5/2007,85.5731
1/6/2007,82.6857
1/7/2007,79.4587
1/8/2007,87.4773
1/9/2007,95.5824
1/10/2007,100.6125
1/11/2007,102.7604
1/12/2007,104.7423
1/1/2008,94.4172
1/2/2008,88.4228
1/3/2008,84.5205
1/4/2008,79.9479
1/5/2008,77.464
1/6/2008,77.6006
1/7/2008,74.2521
1/8/2008,77.2732
1/9/2008,90.1025
1/10/2008,99.4744
1/11/2008,101.011
1/12/2008,88.6774
1/1/2009,78.3008
1/2/2009,77.471
1/3/2009,74.4639
1/4/2009,69.3533
1/5/2009,69.8173
1/6/2009,69.2242
1/7/2009,71.6405
1/8/2009,77.5501
1/9/2009,88.1444
1/10/2009,107.8255
1/11/2009,102.1148
1/12/2009,101.6883
1/1/2010,87.5847
1/2/2010,86.3923
1/3/2010,80.2251
1/4/2010,78.0406
1/5/2010,78.4252
1/6/2010,77.9799
1/7/2010,84.0023
1/8/2010,92.9401
1/9/2010,100.8258
1/10/2010,109.882
1/11/2010,102.4298
1/12/2010,103.3252
1/1/2011,89.6902
1/2/2011,89.2532
1/3/2011,86.1577
1/4/2011,84.9045
1/5/2011,79.5525
1/6/2011,78.113
1/7/2011,78.0761
1/8/2011,80.0673
1/9/2011,81.8416
1/10/2011,101.7732
1/11/2011,101.8423
1/12/2011,100.2207
1/1/2012,87.1751
1/2/2012,86.3869
1/3/2012,82.1237
1/4/2012,76.4916
1/5/2012,74.4359
1/6/2012,75.4866
1/7/2012,78.0103
1/8/2012,85.5945
1/9/2012,97.6757
1/10/2012,99.8851
1/11/2012,100.8169
1/12/2012,100.7917
1/1/2013,92.8618
1/2/2013,88.4557
1/3/2013,88.9702
1/4/2013,82.6481
1/5/2013,79.6017
1/6/2013,79.7192
1/7/2013,80.3594
1/8/2013,87.3992
1/9/2013,92.06
1/10/2013,102.5767
1/11/2013,106.5066
1/12/2013,108.1032
1/1/2014,91.8395
1/2/2014,91.3793
1/3/2014,88.8781
1/4/2014,81.758
1/5/2014,77.6318
1/6/2014,78.3296
1/7/2014,77.0086
1/8/2014,85.437
1/9/2014,92.7151
1/10/2014,103.4341
1/11/2014,110.9542
1/12/2014,110.0602
1/1/2015,93.7278
1/2/2015,92.5349
1/3/2015,90.2956
1/4/2015,85.5588
1/5/2015,81.9278
1/6/2015,85.4737
1/7/2015,87.4351
1/8/2015,99.0884
1/9/2015,99.8553
1/10/2015,110.3177
1/11/2015,109.35
1/12/2015,106.4337
1/1/2016,97.1381
1/2/2016,97.9373
1/3/2016,98.4039
1/4/2016,95.064
1/5/2016,93.3674
1/6/2016,93.8016
1/7/2016,94.3264
1/8/2016,96.2465
1/9/2016,101.3212
1/10/2016,111.2202
1/11/2016,108.124
1/12/2016,107.5821
1/1/2017,100.4838
1/2/2017,103.5526
1/3/2017,95.2292
1/4/2017,96.9955
1/5/2017,91.2686
1/6/2017,92.9657
1/7/2017,90.4139
1/8/2017,100.6994
1/9/2017,106.643
1/10/2017,106.8368
1/11/2017,105.1142
1/12/2017,109.7973
1/1/2018,99.8976
1/2/2018,101.719
1/3/2018,97.5534
1/4/2018,97.1085
1/5/2018,93.2324
1/6/2018,90.6532
1/7/2018,90.7729
1/8/2018,97.0002
1/9/2018,105.9569
1/10/2018,105.5754
1/11/2018,106.2174
1/12/2018,111.7044
1/1/2019,102.6241
1/2/2019,103.4952
1/3/2019,102.7935
1/4/2019,96.9581
1/5/2019,93.412
1/6/2019,93.7607
1/7/2019,91.2275
1/8/2019,99.0686
1/9/2019,107.5354
1/10/2019,108.4035
1/11/2019,111.3411
1/12/2019,114.232
1/1/2020,98.5054
1/2/2020,100.6342
1/3/2020,94.8233
1/4/2020,79.8951
1/5/2020,81.3688
1/6/2020,84.3634
1/7/2020,87.9214
1/8/2020,97.0128
1/9/2020,102.7201
1/10/2020,110.9377
1/11/2020,113.1512
1/12/2020,114.6063
1/1/2021,107.4552
1/2/2021,99.0244
